raw_DATE,label_DATE,raw_temp_C,predict_temp_C
2016-10-10 23:53:00,2016-10-09 23:53:00,15.0,15.461607983317077
2016-10-11 00:53:00,2016-10-10 00:53:00,15.0,14.050536843076022
2016-10-11 01:53:00,2016-10-10 01:53:00,15.0,14.111904885592722
2016-10-11 02:53:00,2016-10-10 02:53:00,15.0,13.751205097285144
2016-10-11 03:53:00,2016-10-10 03:53:00,15.0,13.143719041205616
2016-10-11 04:53:00,2016-10-10 04:53:00,15.0,13.33252327919708
2016-10-11 05:53:00,2016-10-10 05:53:00,15.0,13.571108279935753
2016-10-11 06:53:00,2016-10-10 06:53:00,15.6,14.493869103762064
2016-10-11 08:53:00,2016-10-10 08:53:00,16.1,16.88694871819013
2016-10-11 09:53:00,2016-10-10 09:53:00,17.2,19.135265016198055
2016-10-11 10:53:00,2016-10-10 10:53:00,18.3,20.273556907400874
2016-10-11 11:53:00,2016-10-10 11:53:00,20.6,20.289133956458482
2016-10-11 12:53:00,2016-10-10 12:53:00,20.6,21.160342402356953
2016-10-11 13:53:00,2016-10-10 13:53:00,20.6,21.094062317069067
2016-10-11 14:53:00,2016-10-10 14:53:00,21.1,21.019860529294938
2016-10-11 15:53:00,2016-10-10 15:53:00,20.0,20.069378036126672
2016-10-11 16:53:00,2016-10-10 16:53:00,18.9,18.723630810048363
2016-10-11 17:53:00,2016-10-10 17:53:00,17.8,16.91836315099429
2016-10-11 18:53:00,2016-10-10 18:53:00,17.2,15.852240286576267
2016-10-11 19:53:00,2016-10-10 19:53:00,16.7,15.241166898972919
2016-10-11 20:53:00,2016-10-10 20:53:00,15.6,15.181609949341272
2016-10-11 21:53:00,2016-10-10 21:53:00,15.0,14.64971722668711
2016-10-11 22:53:00,2016-10-10 22:53:00,15.0,14.96155070337578
2016-10-11 23:53:00,2016-10-10 23:53:00,15.0,14.60968650038707
2016-10-12 00:53:00,2016-10-11 00:53:00,15.6,13.513395280288648
2016-10-12 01:53:00,2016-10-11 01:53:00,14.4,13.628238425822369
2016-10-12 02:53:00,2016-10-11 02:53:00,14.4,13.668321196080772
2016-10-12 03:53:00,2016-10-11 03:53:00,14.4,13.95711439426408
2016-10-12 04:53:00,2016-10-11 04:53:00,14.4,14.159622193701203
2016-10-12 05:53:00,2016-10-11 05:53:00,14.4,14.420195154475685
2016-10-12 06:53:00,2016-10-11 06:53:00,14.4,15.180550801741527
2016-10-12 07:53:00,2016-10-11 07:53:00,15.0,15.443044069069002
2016-10-12 08:53:00,2016-10-11 08:53:00,15.6,16.079857629836987
2016-10-12 09:53:00,2016-10-11 09:53:00,17.2,17.20081055158996
2016-10-12 11:53:00,2016-10-11 11:53:00,21.7,20.001929194471654
2016-10-12 13:53:00,2016-10-11 13:53:00,20.6,19.915421092133265
2016-10-12 14:53:00,2016-10-11 14:53:00,19.4,20.35289359331583
2016-10-12 15:53:00,2016-10-11 15:53:00,18.9,19.52631365886517
2016-10-12 16:53:00,2016-10-11 16:53:00,18.3,18.570877157592417
2016-10-12 17:53:00,2016-10-11 17:53:00,16.7,17.473381778739842
2016-10-12 18:53:00,2016-10-11 18:53:00,15.6,16.825266451045163
2016-10-12 19:53:00,2016-10-11 19:53:00,15.0,16.326909176160893
2016-10-12 20:53:00,2016-10-11 20:53:00,15.0,15.359990206127796
2016-10-12 21:53:00,2016-10-11 21:53:00,13.9,14.764174399286276
2016-10-12 22:53:00,2016-10-11 22:53:00,13.9,14.731946873046747
2016-10-12 23:53:00,2016-10-11 23:53:00,13.3,14.76845391654209
2016-10-13 00:53:00,2016-10-12 00:53:00,12.8,14.176113438020717
2016-10-13 01:53:00,2016-10-12 01:53:00,12.2,13.264980619156777
2016-10-13 02:53:00,2016-10-12 02:53:00,11.7,13.628234144190085
2016-10-13 03:53:00,2016-10-12 03:53:00,11.7,13.752037849356318
2016-10-13 04:53:00,2016-10-12 04:53:00,11.7,14.012822660800541
2016-10-13 05:53:00,2016-10-12 05:53:00,11.7,14.236161556063317
2016-10-13 06:53:00,2016-10-12 06:53:00,11.7,14.438527267883162
2016-10-13 07:53:00,2016-10-12 07:53:00,13.3,15.078386312203977
2016-10-13 08:53:00,2016-10-12 08:53:00,15.6,15.884132296993492
2016-10-13 10:53:00,2016-10-12 10:53:00,20.0,19.09781368516635
2016-10-13 11:53:00,2016-10-12 11:53:00,21.7,20.96550501020035
2016-10-13 13:53:00,2016-10-12 13:53:00,22.8,20.089452323828972
2016-10-13 14:53:00,2016-10-12 14:53:00,22.2,19.415946564912286
2016-10-13 15:53:00,2016-10-12 15:53:00,22.2,18.771354795634544
2016-10-13 16:53:00,2016-10-12 16:53:00,21.1,17.880549715945367
2016-10-13 17:53:00,2016-10-12 17:53:00,20.0,16.63857706898385
2016-10-13 18:53:00,2016-10-12 18:53:00,19.4,15.531602443501203
2016-10-13 19:53:00,2016-10-12 19:53:00,17.8,14.985890866799416
2016-10-13 20:53:00,2016-10-12 20:53:00,17.8,14.90020474920863
2016-10-13 21:53:00,2016-10-12 21:53:00,17.2,13.913926281475566
2016-10-13 22:53:00,2016-10-12 22:53:00,16.1,13.77160718097187
2016-10-13 23:53:00,2016-10-12 23:53:00,16.7,13.50378101490545
2016-10-14 00:53:00,2016-10-13 00:53:00,16.1,12.026568721543939
2016-10-14 01:53:00,2016-10-13 01:53:00,16.1,11.597637339622274
2016-10-14 02:53:00,2016-10-13 02:53:00,16.1,11.477159767800254
2016-10-14 03:53:00,2016-10-13 03:53:00,16.1,11.661015249428848
2016-10-14 04:53:00,2016-10-13 04:53:00,16.7,11.871951528988015
2016-10-14 05:53:00,2016-10-13 05:53:00,17.2,11.975575312373268
2016-10-14 06:53:00,2016-10-13 06:53:00,17.2,12.349868740897591
2016-10-14 07:53:00,2016-10-13 07:53:00,18.3,13.824880143763185
2016-10-14 08:53:00,2016-10-13 08:53:00,19.4,15.815167770398277
2016-10-14 09:53:00,2016-10-13 09:53:00,21.1,17.171423291508553
2016-10-14 10:53:00,2016-10-13 10:53:00,20.6,19.446444296947515
2016-10-14 11:53:00,2016-10-13 11:53:00,20.6,20.714576530504495
2016-10-14 12:53:00,2016-10-13 12:53:00,21.1,21.21436909197095
2016-10-14 13:53:00,2016-10-13 13:53:00,21.1,21.631680224360743
2016-10-14 14:53:00,2016-10-13 14:53:00,20.6,21.065097302068242
2016-10-14 15:53:00,2016-10-13 15:53:00,20.0,20.7935773368189
2016-10-14 16:53:00,2016-10-13 16:53:00,19.4,19.916540310741595
2016-10-14 17:53:00,2016-10-13 17:53:00,19.4,18.91991852288195
2016-10-14 18:53:00,2016-10-13 18:53:00,18.3,18.285069619778128
2016-10-14 19:53:00,2016-10-13 19:53:00,18.3,16.909321768328343
2016-10-14 20:53:00,2016-10-13 20:53:00,17.2,16.87861110559612
2016-10-14 21:53:00,2016-10-13 21:53:00,16.7,16.285702883956603
2016-10-14 22:53:00,2016-10-13 22:53:00,16.7,15.338931213104534
2016-10-14 23:53:00,2016-10-13 23:53:00,16.7,15.887160966445858
